Unnamed: 0,ODT,RowID,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
65,7710652,25702,141053000000000.0,71030300000000.0,32789,9013,2645740000000.0,110000001100000011,39280,0,0,0,0,32723,32723,25,25,37632,612,616,48896,1996,16538,41472,30197,32841,39248,129809441727716775377536728396988416,57930,0,7709292,1449,392,1111111111
66,7710952,25703,141088000000000.0,73645900000000.0,32788,6801,2619970000000.0,110000001100000011,39112,0,0,0,0,32723,32723,25,25,38016,609,610,27392,1461,17147,16384,39967,32849,39066,129809441727716775377536728396988416,57930,0,7709292,1449,393,1111111111
67,7711252,25704,141058000000000.0,66889900000000.0,32790,8230,2602790000000.0,110000001100000011,38859,0,0,0,0,32723,32723,25,25,38272,607,606,33536,1210,15574,37888,40955,32842,38813,129809441727716775377536728396988416,57930,0,7709292,1449,393,1111111111
68,7711552,25705,141015000000000.0,72576500000000.0,32792,5609,2577020000000.0,110000001100000011,38576,0,0,0,0,32723,32723,25,25,38656,604,600,25856,2176,16898,42496,40187,32832,38540,129809441727716775377536728396988416,57930,0,7709292,1449,393,1111111111
69,7711852,25706,140413000000000.0,67207700000000.0,32790,6405,2551250000000.0,110000001100000011,38297,0,0,0,0,32723,32723,25,25,39040,601,594,44288,789,15648,41472,29436,32692,38250,129809441727716775377536728396988416,57930,0,7709292,1449,393,1111111111
70,7712152,25707,140452000000000.0,67710300000000.0,32790,6418,2534070000000.0,110000001100000011,38125,0,0,0,0,32723,32723,25,25,39296,599,590,3840,2145,15765,26624,34705,32701,38045,129809441727716775377536728396988416,57930,0,7709292,1449,393,1111111111
71,7712452,25708,141139000000000.0,79057600000000.0,32793,7010,2534070000000.0,110000001100000011,38130,0,0,0,0,32723,32723,25,25,39296,599,590,12288,2090,18407,32256,31733,32861,38018,129809441727716775377536728396988416,57930,0,7712266,1450,393,1111111111
72,7712752,25709,141229000000000.0,69587200000000.0,32792,6586,2534070000000.0,110000001100000011,38161,0,0,0,0,32723,32723,25,25,39296,599,590,16384,2134,16202,33280,28768,32882,38045,129809441727716775377536728396988416,57930,0,7712266,1450,393,1111111111
73,7713052,25710,140723000000000.0,74917200000000.0,32790,8902,2542660000000.0,110000001100000011,38257,0,0,0,0,32723,32723,25,25,39168,600,592,62464,1303,17443,15872,41069,32764,38126,129809441727716775377536728396988416,57930,0,7712266,1450,393,1111111111
74,7713352,25711,140989000000000.0,69741800000000.0,32787,6718,2551250000000.0,110000001100000011,38403,0,0,0,0,32723,32723,25,25,39040,601,594,2560,1847,16238,8704,36675,32826,38271,129809441727716775377536728396988416,57930,0,7712266,1450,393,1111111111
75,7713652,25712,141199000000000.0,63299300000000.0,32791,7507,2568430000000.0,110000001100000011,38576,0,0,0,0,32723,32723,25,25,38784,603,598,33024,1098,14738,54784,29756,32875,38449,129809441727716775377536728396988416,57930,0,7713622,1451,393,1111111111
76,7713952,25713,140602000000000.0,65584300000000.0,32792,5497,2585610000000.0,110000001100000011,38775,0,0,0,0,32723,32723,25,25,38528,605,602,33536,2279,15270,50176,29763,32736,38646,129809441727716775377536728396988416,57930,0,7713622,1451,393,1111111111
77,7714252,25714,140121000000000.0,62178300000000.0,32790,5622,2602790000000.0,110000001100000011,38961,0,0,0,0,32723,32723,25,25,38272,607,606,63232,891,14477,14848,30318,32624,38829,129809441727716775377536728396988416,57930,0,7713622,1451,393,1111111111
78,7714552,25715,140830000000000.0,65597100000000.0,32793,5531,2619970000000.0,110000001100000011,39131,0,0,0,0,32723,32723,25,25,38016,609,610,768,984,15273,44032,35359,32789,39006,129809441727716775377536728396988416,57930,0,7713622,1451,393,1111111111
79,7714852,25716,140907000000000.0,68874200000000.0,32791,8658,2637150000000.0,110000001100000011,39309,0,0,0,0,32723,32723,25,25,37760,611,614,42496,1593,16036,28160,30638,32807,39183,129809441727716775377536728396988416,57930,0,7713622,1451,393,1111111111
80,7715152,25717,141075000000000.0,72593600000000.0,32792,8289,2645740000000.0,110000001100000011,39465,0,0,0,0,32723,32723,25,25,37632,612,616,45056,957,16902,65024,38210,32846,39339,129809441727716775377536728396988416,57930,0,7714906,1452,393,1111111111
